Title,Date
"Vikingos: Temporada 4: Prometida","9/9/18"
"Vikingos: Temporada 4: El solsticio de invierno","8/9/18"
"Vikingos: Temporada 4: Clemencia","8/9/18"
"Vikingos: Temporada 4: Matad a la reina","8/9/18"
"Stranger Things: Capítulo uno: La desaparición de Will Byers","8/9/18"
"Vikingos: Temporada 4: Una buena traición","7/9/18"
"Vikingos: Temporada 3: Los muertos","7/9/18"
"Vikingos: Temporada 3: Punto crítico","7/9/18"
"Las chicas del cable: Temporada 3: Capítulo 17: El tiempo","7/9/18"
"Outlander: Temporada 2: Resurrección inoportuna","4/9/18"
"Outlander: Temporada 2: La Dama Blanca","4/9/18"
"Outlander: Temporada 2: Ocupaciones útiles y decepciones","4/9/18"
"Vikingos: Temporada 3: A las puertas","2/9/18"
"Vikingos: Temporada 3: París","2/9/18"
"Vikingos: Temporada 3: Renacido","2/9/18"
"Vikingos: Temporada 3: El usurpador","2/9/18"
"Vikingos: Temporada 3: Marcada","1/9/18"
"Vikingos: Temporada 3: El sino del guerrero","31/8/18"
"Outlander: Temporada 2: Esto no es Escocia","31/8/18"
"Outlander: Temporada 2: A través de un cristal, oscuramente","31/8/18"
"Vikingos: Temporada 3: El errante","30/8/18"
"Vikingos: Temporada 3: Mercenario","30/8/18"
"Outlander: Temporada 1: La redención del alma de un hombre","30/8/18"
"Vikingos: Temporada 2: La oración del Señor","27/8/18"
"Vikingos: Temporada 2: La decisión","27/8/18"
"Vikingos: Temporada 2: Sin huesos","26/8/18"
"Vikingos: Temporada 2: El águila de sangre","26/8/18"
"Vikingos: Temporada 2: Imperdonable","26/8/18"
"Vikingos: Temporada 2: Respuestas en sangre","26/8/18"
"Vikingos: Temporada 2: Ojo por ojo","26/8/18"
"(Des)encanto: Parte 1: Utopía hace aguas","25/8/18"
"(Des)encanto: Parte 1: Sé fiel a ti mismo","25/8/18"
"(Des)encanto: Parte 1: Los límites de la inmortalidad","25/8/18"
"(Des)encanto: Parte 1: Tierna cólera de amor","25/8/18"
"(Des)encanto: Parte 1: Pantano y circunstancia","25/8/18"
"(Des)encanto: Parte 1: ¡Más deprisa, princesa! ¡Mata! ¡Mata!","25/8/18"
"(Des)encanto: Parte 1: Matanza en la fiesta del castillo","25/8/18"
"(Des)encanto: Parte 1: La princesa de las tinieblas","25/8/18"
"(Des)encanto: Parte 1: Por quién gruñe el cerdo","25/8/18"
"(Des)encanto: Parte 1: Una princesa, un elfo y un demonio entran en un bar","25/8/18"
"Vikingos: Temporada 2: Traición","22/8/18"
"Vikingos: Temporada 2: Invasión","21/8/18"
"Vikingos: Temporada 2: Guerra de hermanos","20/8/18"
"Vikingos: Temporada 1: Todo cambia","20/8/18"
"Vikingos: Temporada 1: Sacrificio","19/8/18"
"Vikingos: Temporada 1: El rescate de un rey","19/8/18"
"Vikingos: Temporada 1: El funeral","18/8/18"
"Outlander: Temporada 1: La cárcel de Wentworth","17/8/18"
